Question,Answer,Category
"I have no prior knowledge, can I take this internship?","We understand you are starting your learning journey. Hence, the program is designed to cover the basics - good for even folks with prior knowledge. The only prerequisites are that you understand physics and maths taught till 12th standard or diploma.",CourseCurriculum
What's the difference between an Internship and Certified course?,"An Internship is for college students to learn the basics of the Industry. A good starting platform to meet the university's internship requirement along with real learnings.

Whereas a Course is much detailed program on the technologies used in the industry. It has industrial projects, much more detailed content, an LoR and career-related sessions. It is meant for students and industry folks who are looking to upgrade themselves for jobs or higher studies.",CourseCurriculum
What do I have to do to enroll for the internship and how will i get the content access?,"Once you have registered for the internship and paid for it, we will share with you the login details to study the portal of Elite Techno Groups where you can access the content. ",CourseCurriculum
Mode of the internship- would it be live or pre- recorded session?,It is a combination of recorded and live interactive sessions with the Experts. Internship content is delivered via recorded videos so that you can have them all the time with you. These will help you plan your learning accordingly given the uncertainties in the college opening and exams!,CourseCurriculum
Which all Software will you teach?,"You will be learning -
Solidworks For Design, FEA and other analysis,
Lotus for suspension analysis,
Ansys Fluent for CFD, and
Ansys for FEA",CourseCurriculum
Will the software be genuine or cracked?,"If you don't have the software, you can download the software from open-source online sources. Given the minimal fees, the software isn't included in the fees.",CourseCurriculum
"I don't know how to use Software (any name), how will you teach?","No problem at all. We will teach you from scratch. It doesn't matter if you haven't used any CAD software. Designing will be starting from very basic things like- learning of all the commands used in it, after that we will be teaching you how to design the subsystems as you continue with the course.",CourseCurriculum
Will there also be practical classes in this course?,"Yes, in fact, the whole course is practically based. Practical means which you practice which could be either Hands-on or on Computer. In the Automotive Industry, work is divided into 2 major domains.
1. Engineers who design the vehicles by doing the research as per the market need - vehicle dynamics & design engineer - 80% of Engineers required in this space
2. Engineers in manufacturing unit - an automated and outsourced process - require 20% of engineers.",CourseCurriculum
What if I have doubts during or after internship?,"We think doubt resolution is the most important part of an internship. Hence, we've three channels for you to get your doubts resolved- 
1. Ask us doubt on the Video platform itself and we will reply to you there
2. A chat group for doubt resolution, you could ask us there
3. Live doubt resolution sessions, you could ask your doubts there too!",Doubt&CareerSupport
What Career Assistance do you provide during the internship?,We provide you LinkedIn profile sessions that can help you in your placements.,Doubt&CareerSupport
Do you provide job or other internships in automotive companies?,"Getting a job depends on multiple factors apart from your technical skills like aptitude skills and the company's requirements. This internship helps you build your technical skills. Also, most students don't just stop here. They go ahead and participate in various activities, competitions, and research which makes them industry ready! This is the first important step in your career journey to push you to become industry-ready.",Doubt&CareerSupport
Will you help me after internship completion?,"Yes, we will provide you support for 6 months.",Doubt&CareerSupport
What all certificates will I get with this internship?,You will get a Completion Certificate and a Project Report.,Certification
When will we get our certificate and performance report?,"Completion means you should have watched all the videos, attempted all the quizzes and the projects.",Certification
How will you decide top performers?,The top performers are the ones who have scored above 85% overall across all quizzes and projects.,Certification
Do we have to clear any test/ exam to get the certificate?,We don't conduct any tests before we issue you a certificate. You have to watch all the tutorials and classes shared by us to get the certificate.,Certification
Will you provide/ post me a hard copy of the certificate?,"We will provide you an international (UK) accredited e-certificate with an online unique verification number that your college or company you will be working with can use to check your certificate details online, a lifetime. Additionally, you can take a print of your certificate from anywhere.",Certification
What is the accreditation of the certificate and is it verifiable by a company/college?,"We will provide you an international (UK) accredited e-certificate with an online unique verification number that your college or company you will be working with can use to check your certificate details online, a lifetime. Additionally, you can take a print of your certificate from anywhere.",Certification
Is there any proof or anything written on the certificate about the projects we worked on?,"Along with the certificate, you will be provided a Project Report which will have details like your work in the project, skills learned, etc. of all the projects and assignments done by you.",Certification
I'm a fresher/ have no background in Automotive,"In that case, there are more reasons for you to take this internship! This internship is prepared from the basics. We will take you through the fundamentals of building a good understanding of automotive engineering. This will make you ready to take up tougher challenges in this space!",EligibilityCriteria
"I don't have a laptop, is it mandatory?","We believe something is better than nothing. 60% of concepts are based on calculations and the 40 percent part is based on design. So, even if you are unable to practice the designing part on a laptop, as you don't have one. No worries! These sessions will be there for you at least for 6 months. So, once your college starts, and you will have access to the CAD lab or any laptop, you can rewatch the sessions and practice.",EligibilityCriteria
What is the Laptop Configuration?,"Minimum RAM: 4 GB
Minimum Processor - i3 could work, i5 and above is recommended (Intel Processor)
If AMD Processor - A6 could work, however above it would be better
Recommended - Have an external mouse during design courses",EligibilityCriteria
Is there any minimum qualification required to take this internship?,"To be eligible for the Internship, the following criteria need to be fulfilled:

Education Requirement: Should be able to understand Physics and Mathematics of Std. 12th and equivalent program (Diploma/other)
Course Program: You should successfully complete the Internship.",EligibilityCriteria
